Run,Inference_Time_ms,Memory_Usage_MB,CPU_Usage_Percent,GPU_Memory_MB
1,1.8543689511716366,625.125,0.0,5.30078125
2,1.8054372631013393,625.125,484.6,5.30078125
3,1.796739175915718,625.125,0.0,5.30078125
4,1.770651899278164,625.125,0.0,5.30078125
5,1.808231696486473,625.125,0.0,5.30078125
6,1.7814012244343758,625.125,0.0,5.30078125
7,1.7851782031357288,625.125,496.7,5.30078125
8,1.758594997227192,625.125,0.0,5.30078125
9,1.7699077725410461,625.125,0.0,5.30078125
10,1.8075630068778992,625.125,0.0,5.30078125
11,1.7506368458271027,625.125,0.0,5.30078125
12,1.7786761745810509,625.125,497.7,5.30078125
13,1.767902635037899,625.125,0.0,5.30078125
14,1.7791260033845901,625.125,0.0,5.30078125
15,1.7891419120132923,625.125,0.0,5.30078125
16,1.7389520071446896,625.125,504.8,5.30078125
17,1.752649899572134,625.125,0.0,5.30078125
18,1.769238617271185,625.125,0.0,5.30078125
19,1.7706160433590412,625.125,0.0,5.30078125
20,1.7338269390165806,625.125,514.6,5.30078125
21,1.7515071667730808,625.125,0.0,5.30078125
22,1.7519709654152393,625.125,0.0,5.30078125
23,1.7874287441372871,625.125,0.0,5.30078125
24,1.7377613112330437,625.125,0.0,5.30078125
25,1.7456989735364914,625.125,0.0,5.30078125
26,1.7574811354279518,625.125,504.2,5.30078125
27,1.7611728981137276,625.125,0.0,5.30078125
28,1.8003149889409542,625.125,0.0,5.30078125
29,1.7480580136179924,625.125,0.0,5.30078125
30,1.7167911864817142,625.125,0.0,5.30078125
31,1.7333640716969967,625.125,0.0,5.30078125
32,1.7353449948132038,625.125,0.0,5.30078125
33,1.7825481481850147,625.125,0.0,5.30078125
34,1.7486829310655594,625.125,0.0,5.30078125
35,1.7628120258450508,625.125,506.6,5.30078125
36,1.726313028484583,625.125,0.0,5.30078125
37,1.725011970847845,625.125,0.0,5.30078125
38,1.789298839867115,625.125,0.0,5.30078125
39,1.7688479274511337,625.125,0.0,5.30078125
40,1.7441529780626297,625.125,509.2,5.30078125
41,1.7459318041801453,625.125,504.1,5.30078125
42,1.8411800265312195,625.125,0.0,5.30078125
43,1.760740764439106,625.125,0.0,5.30078125
44,1.7384150996804237,625.125,0.0,5.30078125
45,1.8173637799918652,625.125,440.7,5.30078125
46,1.7279619351029396,625.125,0.0,5.30078125
47,1.7711170949041843,625.125,0.0,5.30078125
48,1.749279908835888,625.125,0.0,5.30078125
49,1.8356312066316605,625.125,488.7,5.30078125
50,1.7682849429547787,625.125,0.0,5.30078125
51,1.7680521123111248,625.125,0.0,5.30078125
52,1.7363992519676685,625.125,0.0,5.30078125
53,1.7484487034380436,625.125,512.4,5.30078125
54,1.7801150679588318,625.125,0.0,5.30078125
55,1.7659319564700127,625.125,0.0,5.30078125
56,1.7438791692256927,625.125,0.0,5.30078125
57,1.74303213134408,625.125,0.0,5.30078125
58,1.7769229598343372,625.125,503.7,5.30078125
59,1.7627463676035404,625.125,0.0,5.30078125
60,1.7848550342023373,625.125,0.0,5.30078125
61,1.7536291852593422,625.125,0.0,5.30078125
62,2.383898012340069,625.125,378.3,5.30078125
63,1.7391098663210869,625.125,0.0,5.30078125
64,1.7756568267941475,625.125,0.0,5.30078125
65,1.7500030808150768,625.125,0.0,5.30078125
66,1.756500918418169,625.125,0.0,5.30078125
67,1.7677717842161655,625.125,505.7,5.30078125
68,1.7247730866074562,625.125,0.0,5.30078125
69,1.7528710886836052,625.125,0.0,5.30078125
70,1.7469758167862892,625.125,0.0,5.30078125
71,1.7485753633081913,625.125,511.1,5.30078125
72,1.7603300511837006,625.125,0.0,5.30078125
73,1.7399638891220093,625.125,0.0,5.30078125
74,1.8342402763664722,625.125,0.0,5.30078125
75,1.7604837194085121,625.125,0.0,5.30078125
76,1.760536339133978,625.125,507.9,5.30078125
77,1.7401380464434624,625.125,0.0,5.30078125
78,1.7745443619787693,625.125,0.0,5.30078125
79,1.7823581583797932,625.125,0.0,5.30078125
80,1.7652157694101334,625.125,0.0,5.30078125
81,1.7692330293357372,625.125,0.0,5.30078125
82,1.7535830847918987,625.125,0.0,5.30078125
83,1.7623379826545715,625.125,0.0,5.30078125
84,1.7288140952587128,625.125,0.0,5.30078125
85,1.757982186973095,625.125,0.0,5.30078125
86,1.783733256161213,625.125,0.0,5.30078125
87,1.764967106282711,625.125,0.0,5.30078125
88,1.8253563903272152,625.125,0.0,5.30078125
89,1.8274211324751377,625.125,0.0,5.30078125
90,1.7694882117211819,625.125,502.1,5.30078125
91,1.7747101373970509,625.125,0.0,5.30078125
92,1.7596250399947166,625.125,0.0,5.30078125
93,1.7192261293530464,625.125,0.0,5.30078125
94,1.7871828749775887,625.125,384.5,5.30078125
95,1.7678090371191502,625.125,0.0,5.30078125
96,1.764053013175726,625.125,0.0,5.30078125
97,1.7951750196516514,625.125,0.0,5.30078125
98,1.7643608152866364,625.125,0.0,5.30078125
99,1.748782116919756,625.125,507.9,5.30078125
100,1.715098973363638,625.125,0.0,5.30078125
