,total_time,time_per_image,throughput,memory_usage,efficiency,memory_per_image
1,1.7522695008665323,1.7522695008665323,570.688469727676,5.87109375,570.6884697276761,5.87109375
5,1.9022054970264435,0.3804410994052887,2628.5277840990766,8.18359375,2628.5277840990766,1.63671875
10,3.017401462420821,0.3017401462420821,3314.1098804854205,11.07373046875,3314.1098804854205,1.107373046875
20,5.4463166277855635,0.2723158313892782,3672.2066245590036,16.85400390625,3672.2066245590036,0.8427001953125
50,10.07213480770588,0.20144269615411758,4964.190904369801,34.19482421875,4964.190904369801,0.683896484375
